model_type,product,organism,reference,strategy,total_product,P_final,V_final,X_final,S_final,avg_mu,t_feed,qp_unit,param_F0,param_mu_set,param_k,param_F1,param_F2,param_t_switch,param_F_pulse,param_T_cycle,param_duty,param_mu_target,param_Kp
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),constant,49.84128920527557,12.460247676497207,4.000023956127879,152.52192817057903,0.0065492742510371,0.10315407297643613,11.577610341773607,mmol/(g*h),0.07500059890319694,,,,,,,,,,
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),exponential,95.15582257259439,23.78892127363276,4.000005779079336,152.50108067993168,0.043493781906066516,0.10314305906448254,11.577610341773607,mmol/(g*h),0.002769625119251703,0.12235848979578116,,,,,,,,,
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),linear_ramp,78.38061417924077,19.595969179822728,3.999833509635568,152.51642859641535,0.013908663039650588,0.10315519906776571,11.577610341773607,mmol/(g*h),0.001013861192376203,,0.003699098827119957,,,,,,,,
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),two_stage,83.41266859201353,20.890532530817953,3.9928454896476286,152.42572266707376,0.028249360545660678,0.10309406403400992,11.577610341773607,mmol/(g*h),,,,0.021934119670548757,0.2681039704469952,31.40641839178887,,,,,
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),pulsed,80.90503955084189,20.22640589736423,3.9999711249434036,152.5100533580696,0.024507335703469777,0.103148620191019,11.577610341773607,mmol/(g*h),,,,,,,0.24014303741476337,0.8317135025891396,0.31097056660434297,,
linear,Resveratrol,S. cerevisiae,Vos et al. (2015),feedback_control,89.07997309095275,22.269909296696795,4.0000150833198775,152.5121824408351,0.02582247793698612,0.1031500762500845,11.577610341773607,mmol/(g*h),,,,,,,,,,0.11116924026531967,19.768774298036387
linear,Heterologous Protein (HIP),S. cerevisiae,Liu et al. (2013),constant,3842.0769492222453,960.3700628927435,4.0006213205454095,152.52897057553807,0.0065492992452611115,0.10315955621853727,11.57760837884656,mg/(g*h),0.07501553301363528,,,,,,,,,,
linear,Heterologous Protein (HIP),S. cerevisiae,Liu et al. (2013),exponential,9386.242024561034,2345.962225090286,4.001020103467265,152.5016615433592,0.061754426842695935,0.10315131043639278,11.57760837884656,mg/(g*h),0.0009470528474543743,0.1549629498751746,,,,,,,,,
linear,Heterologous Protein (HIP),S. cerevisiae,Liu et al. (2013),linear_ramp,5705.406066106596,1425.962995788664,4.001089848023076,152.5311425220551,0.01391012010337346,0.1031635617319981,11.57760837884656,mg/(g*h),0.0010019421193621647,,0.0037012652037553342,,,,,,,,
linear,Heterologous Protein (HIP),S. cerevisiae,Liu et al. (2013),two_stage,10368.949727716563,2589.946842622239,4.003537662270447,152.56631574306306,8.943624547529317e-05,0.10318084175738988,11.57760837884656,mg/(g*h),,,,0.3420165578050218,0.001091585752829588,8.681924304521308,,,,,
